strip,number,category,color temp,lux,R,G,B,C,R_clear,G_clear,B_clear,R_gamma,G_gamma,B_gamma,H_360,H,S,V
1,1-1,white,5869,2530,4846,4475,4043,13295,92.947,85.831,77.545,20.655,16.926,13.132,32,0.0889,0.163,92
1,1-1,blood,2841,1868,3286,2577,1547,7398,113.264,88.826,53.323,33.859,18.441,5.149,35,0.0972,0.531,113
1,1-1,pH,3746,1448,3728,2780,2362,8720,109.018,81.296,69.072,30.774,14.778,9.833,18,0.05,0.367,109
1,1-1,protein,5022,2365,4527,4041,3475,11880,97.17,86.739,74.59,23.082,17.377,11.916,31.3,0.087,0.2371,97
1,1-1,glucose,9264,1511,2352,2651,2608,7526,79.692,89.823,88.366,14.06,18.963,18.203,174,0.4833,0.1124,89
1,1-1,ketone,5630,2448,4643,4269,3801,12467,94.968,87.318,77.746,21.796,17.669,13.217,35.29,0.098,0.1809,94
2,2-1,white,5801,3961,7604,6997,6303,20738,93.501,86.037,77.503,20.964,17.028,13.114,33.75,0.0938,0.172,93
2,2-1,blood,4307,2814,3570,3729,2612,9896,91.992,96.089,67.306,20.128,22.445,9.217,70.34,0.1954,0.3021,96
2,2-1,pH,4627,3149,6378,5454,4629,16236,100.172,85.66,72.702,24.906,16.841,11.177,27.86,0.0774,0.28,100
2,2-1,protein,3212,2173,3541,2989,1905,8387,107.661,90.878,57.92,29.826,19.525,6.332,39.6,0.11,0.4673,107
2,2-1,glucose,5249,2782,4616,4449,3745,12581,93.56,90.175,75.906,20.997,19.15,12.449,50,0.1389,0.1935,93
2,2-1,ketone,4445,1437,3992,3006,2747,9615,105.872,79.722,72.853,28.602,14.073,11.235,12.73,0.0354,0.3143,105
3,3-1,white,5608,3267,6364,5775,5167,17292,93.848,85.162,76.196,21.159,16.598,12.568,31.76,0.0882,0.1828,93
3,3-1,blood,5305,2995,4439,4538,3725,12590,89.908,91.913,75.447,19.008,20.086,12.261,67.5,0.1875,0.1758,91
3,3-1,pH,3775,1535,2261,2104,1437,5795,99.492,92.583,63.233,24.485,20.454,7.885,48.33,0.1343,0.3636,99
3,3-1,protein,4158,2465,3908,3620,2705,10098,98.687,91.414,68.308,23.993,19.814,9.564,46,0.1278,0.3061,98
3,3-1,glucose,5186,3236,5937,5442,4680,15782,95.928,87.93,75.618,22.351,17.98,12.331,36,0.1,0.2105,95
3,3-1,ketone,4412,1225,3890,2802,2642,9205,107.762,77.622,73.19,29.895,13.164,11.365,7.06,0.0196,0.3178,107
4,4-1,white,5840,4297,8243,7598,6857,22495,93.441,86.13,77.73,20.931,17.074,13.21,33.75,0.0938,0.172,93
4,4-1,blood,5767,2389,3272,3563,2968,9706,85.963,93.609,77.977,16.991,21.025,13.315,90,0.25,0.172,93
4,4-1,pH,5817,3386,6076,5774,5130,16748,92.511,87.913,78.108,20.414,17.971,13.371,38.57,0.1071,0.1522,92
4,4-1,protein,4510,2161,3039,3053,2283,8285,93.536,93.967,70.267,20.984,21.226,10.264,60,0.1667,0.2473,93
4,4-1,glucose,5014,2729,5455,4777,4152,14093,98.703,86.435,75.127,24.003,17.225,12.132,28.7,0.0797,0.2347,98
4,4-1,ketone,2516,385,2660,1512,1554,5537,122.503,69.633,71.568,41.191,10.034,10.746,357.74,0.9937,0.4344,122
5,5-1,white,5796,4186,8042,7396,6662,21920,93.554,86.039,77.5,20.994,17.029,13.113,33.75,0.0938,0.172,93
5,5-1,blood,3464,3111,5271,4490,3094,12784,105.14,89.561,61.715,28.11,18.825,7.42,38.18,0.1061,0.419,105
5,5-1,pH,6060,3088,5618,5351,4828,15563,92.051,87.676,79.107,20.161,17.85,13.803,36.92,0.1026,0.1413,92
5,5-1,protein,5092,1709,2144,2369,1822,6238,87.643,96.841,74.481,17.834,22.887,11.873,84.55,0.2348,0.2292,96
5,5-1,glucose,4871,2282,4753,4064,3537,12062,100.482,85.916,74.775,25.099,16.968,11.99,25.38,0.0705,0.26,100
5,5-1,ketone,2010,240,2079,1127,1179,4201,126.195,68.409,71.565,44.365,9.599,10.745,356.9,0.9914,0.4603,126
6,6-1,white,4926,2502,4940,4332,3731,12951,97.267,85.295,73.462,23.139,16.663,11.471,30,0.0833,0.2474,97
6,6-1,blood,4507,3724,6405,5843,4671,16766,97.416,88.868,71.043,23.228,18.463,10.55,39.23,0.109,0.268,97
6,6-1,protein,5901,2426,3779,3866,3345,10764,89.525,91.586,79.243,18.806,19.907,13.863,70,0.1944,0.1319,91
6,6-1,glucose,5435,3180,6181,5577,4940,16395,96.136,86.742,76.834,22.473,17.379,12.833,30,0.0833,0.2083,96
1,1-2,white,6057,1931,3618,3398,3084,10032,91.965,86.373,78.391,20.114,17.194,13.493,36.92,0.1026,0.1429,91
1,1-2,blood,3149,1442,2495,2043,1328,5850,108.756,89.054,57.887,30.59,18.56,6.323,37.65,0.1046,0.4722,108
1,1-2,pH,4545,1245,2827,2300,2004,7025,102.617,83.488,72.743,26.454,15.794,11.192,22,0.0611,0.2941,102
1,1-2,protein,3077,1122,1898,1555,978,4405,109.873,90.017,56.615,31.381,19.066,5.981,38.49,0.1069,0.4862,109
1,1-2,glucose,8248,1208,1972,2116,2037,6028,83.421,89.512,86.17,15.762,18.799,17.094,150,0.4167,0.0674,89
