strip,number,expected,category,color temp,lux,R,G,B,C,R_clear,G_clear,B_clear,R_gamma,G_gamma,B_gamma,H_360,H,S,V
1,1_1,1,blood,3388,5653,11255,8944,6571,26750,107.291,85.261,62.639,29.569,16.646,7.701,30.67,0.0852,0.4206,107
1,1_1,1,pH,4470,4909,11518,9220,8066,28431,103.306,82.695,72.345,26.9,15.422,11.04,19.35,0.0538,0.301,103
1,1_1,1,protein,3395,5627,9058,7830,5179,22173,104.171,90.049,59.561,27.467,19.082,6.79,41.33,0.1148,0.4327,104
1,1_1,1,glucose,6949,5097,9009,8956,8353,26070,88.12,87.602,81.704,18.077,17.812,14.964,51.43,0.1429,0.0795,88
1,1_1,1,ketone,5132,4867,10029,8712,7688,26378,96.952,84.22,74.321,22.952,16.143,11.809,27.27,0.0758,0.2292,96
2,2_1,2,pH,2100,3453,10628,6444,4464,21488,126.123,76.472,52.975,44.303,12.682,5.065,19.46,0.0541,0.5873,126
2,2_1,2,protein,4180,5923,9698,8865,6722,25125,98.427,89.973,68.223,23.836,19.042,9.534,42,0.1167,0.3061,98
2,2_1,2,glucose,5564,3395,4893,5138,4270,14227,87.7,92.092,76.534,17.863,20.183,12.708,78.75,0.2188,0.1739,92
2,2_1,2,ketone,3880,3842,10614,7794,6850,24873,108.816,79.905,70.227,30.631,14.154,10.249,14.21,0.0395,0.3519,108
3,3_1,3,pH,3198,3891,6832,5591,3709,16226,107.368,87.865,58.289,29.623,17.947,6.433,35.51,0.0986,0.4579,107
3,3_1,3,protein,4083,5486,8301,7816,5677,21657,97.74,92.029,66.844,23.422,20.149,9.059,50.32,0.1398,0.3196,97
3,3_1,3,glucose,5388,5602,10029,9379,8123,27191,94.053,87.957,76.178,21.275,17.994,12.561,36.67,0.1019,0.1915,94
3,3_1,3,ketone,3374,2784,9587,6433,5816,21370,114.398,76.763,69.4,34.712,12.803,9.95,9.33,0.0259,0.3947,114
